# Bins with counts >= 100

# Q2 vs x_pom (x_pom in linear units)
# x_low x_high y_low y_high count
0.001 0.003 5 8 428
0.003 0.01 5 8 4314
0.003 0.01 8 12 1808
0.003 0.01 12 20 627
0.01 0.03 5 8 2259
0.01 0.03 8 12 1387
0.01 0.03 12 20 874
0.01 0.03 20 40 314
0.03 0.1 5 8 725
0.03 0.1 8 12 500
0.03 0.1 12 20 413
0.03 0.1 20 40 237
0.1 0.3 5 8 100

# Q2 vs beta
# x_low x_high y_low y_high count
0 0.2 5 8 487
0 0.2 8 12 215
0 0.2 12 20 104
0.2 0.4 5 8 920
0.2 0.4 8 12 483
0.2 0.4 12 20 227
0.4 0.6 5 8 1624
0.4 0.6 8 12 709
0.4 0.6 12 20 384
0.4 0.6 20 40 125
0.6 0.8 5 8 2368
0.6 0.8 8 12 1138
0.6 0.8 12 20 552
0.6 0.8 20 40 172
0.8 1 5 8 2008
0.8 1 8 12 1043
0.8 1 12 20 611
0.8 1 20 40 210

# beta vs x_pom (x_pom in linear units)
# x_low x_high y_low y_high count
0.001 0.003 0.6 0.8 147
0.001 0.003 0.8 1 277
0.003 0.01 0.2 0.4 338
0.003 0.01 0.4 0.6 1211
0.003 0.01 0.6 0.8 2145
0.003 0.01 0.8 1 2114
0.01 0.03 0 0.2 198
0.01 0.03 0.2 0.4 737
0.01 0.03 0.4 0.6 959
0.01 0.03 0.6 0.8 1205
0.01 0.03 0.8 1 991
0.03 0.1 0 0.2 395
0.03 0.1 0.2 0.4 425
0.03 0.1 0.4 0.6 381
0.03 0.1 0.6 0.8 323
0.03 0.1 0.8 1 170
0.1 0.3 0 0.2 156
