# bin_id	Q2_min	Q2_max	beta_min	beta_max	x_pom_min	x_pom_max
1	5	8	0.15	0.5	0.001	0.003
2	5	8	0.5	0.85	0.001	0.003
3	5	8	0.85	1	0.001	0.003
4	5	8	0	0.15	0.003	0.01
5	5	8	0.15	0.5	0.003	0.01
6	5	8	0.5	0.85	0.003	0.01
7	5	8	0.85	1	0.003	0.01
8	5	8	0	0.15	0.01	0.03
9	5	8	0.15	0.5	0.01	0.03
10	5	8	0.5	0.85	0.01	0.03
11	5	8	0.85	1	0.01	0.03
12	5	8	0	0.15	0.03	0.1
13	5	8	0.15	0.5	0.03	0.1
14	5	8	0.5	0.85	0.03	0.1
15	5	8	0.85	1	0.03	0.1
18	8	12	0.5	0.85	0.001	0.003
19	8	12	0.85	1	0.001	0.003
21	8	12	0.15	0.5	0.003	0.01
22	8	12	0.5	0.85	0.003	0.01
23	8	12	0.85	1	0.003	0.01
24	8	12	0	0.15	0.01	0.03
25	8	12	0.15	0.5	0.01	0.03
26	8	12	0.5	0.85	0.01	0.03
27	8	12	0.85	1	0.01	0.03
28	8	12	0	0.15	0.03	0.1
29	8	12	0.15	0.5	0.03	0.1
30	8	12	0.5	0.85	0.03	0.1
31	8	12	0.85	1	0.03	0.1
33	12	20	0.15	0.5	0.003	0.01
34	12	20	0.5	0.85	0.003	0.01
35	12	20	0.85	1	0.003	0.01
36	12	20	0	0.15	0.01	0.03
37	12	20	0.15	0.5	0.01	0.03
38	12	20	0.5	0.85	0.01	0.03
39	12	20	0.85	1	0.01	0.03
40	12	20	0	0.15	0.03	0.1
41	12	20	0.15	0.5	0.03	0.1
42	12	20	0.5	0.85	0.03	0.1
43	12	20	0.85	1	0.03	0.1
46	20	40	0.5	0.85	0.003	0.01
47	20	40	0.85	1	0.003	0.01
49	20	40	0.15	0.5	0.01	0.03
50	20	40	0.5	0.85	0.01	0.03
51	20	40	0.85	1	0.01	0.03
52	20	40	0	0.15	0.03	0.1
53	20	40	0.15	0.5	0.03	0.1
54	20	40	0.5	0.85	0.03	0.1
55	20	40	0.85	1	0.03	0.1
57	40	150	0.15	0.5	0.01	0.03
58	40	150	0.5	0.85	0.01	0.03
59	40	150	0.85	1	0.01	0.03
60	40	150	0	0.15	0.03	0.1
61	40	150	0.15	0.5	0.03	0.1
62	40	150	0.5	0.85	0.03	0.1
63	40	150	0.85	1	0.03	0.1
