# iQ2	iBeta	Q2	beta	xpom	y	d3_theory	d3_theory_err	d3_data	d3_data_err	red_theory	red_theory_err	red_data	red_data_err
4	2	5.1453226	0.3	0.0078117066	0.54887807	19.486881	0.41452068	17.936699	0.83896424	3002.4386	63.867218	2763.5945	129.2633
5	2	8.1547867	0.3	0.0078117066	0.86991311	11.811364	0.25634512	11.033973	0.51683235	5409.9596	117.41377	5053.891	236.72475
4	3	5.1453226	0.5	0.0078117066	0.32932684	19.046001	0.4098047	18.675022	0.72329449	4059.9958	87.357201	3980.915	154.18316
5	3	8.1547867	0.5	0.0078117066	0.52194787	16.757338	0.30533567	16.325824	0.57129567	10588.843	192.93945	10316.172	360.99769
6	3	12.924466	0.5	0.0078117066	0.82723162	4.5318581	0.12612849	3.985364	0.23858907	8580.9111	238.81977	7546.1442	451.75987
4	4	5.1453226	0.7	0.0078117066	0.23523346	19.786679	0.41769713	19.35477	0.64877798	5401.8001	114.03209	5283.888	177.11759
5	4	8.1547867	0.7	0.0078117066	0.37281991	17.686447	0.31368614	16.647685	0.51758187	13795.502	244.67649	12985.263	403.71601
6	4	12.924466	0.7	0.0078117066	0.59087973	6.2308661	0.14789355	5.7494587	0.26802631	14571.191	345.85644	13445.396	626.79288
7	4	20.483898	0.7	0.0078117066	0.93648126	1.2979193	0.05361655	1.3067788	0.11401789	8864.5692	366.19198	8925.0782	778.72292
4	5	5.1453226	0.9	0.0078117066	0.18295936	14.496123	0.35752051	13.785734	0.52418087	4835.8711	119.26797	4598.887	174.86545
5	5	8.1547867	0.9	0.0078117066	0.28997104	13.82536	0.27734048	12.824615	0.40987396	12843.725	257.6486	11914.035	380.77188
6	5	12.924466	0.9	0.0078117066	0.45957312	5.3076448	0.1364979	5.1598625	0.22225234	14418.56	370.80535	14017.1	603.76283
7	5	20.483898	0.9	0.0078117066	0.72837432	1.5880684	0.059307503	1.5519529	0.096267891	13039.376	486.96443	12742.837	790.44028
